Depth 1,Depth 2,Depth 3,Depth 4,MVP 요건 구분,데이터 & 처리 로직 / 비고 및 검토사항,등급,비고,예외 처리,이야기 장면,정확한 출처 위치,출처(파일명),화면 / 기능 설명
,3.2 이야기 진행,3.2.1 도입 화면,-,핵심 요건 (Must),음성 입력 비활성화 (스토리 상황 파악 구역),필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/1-%E1%84%83%E1%85%A9%E1%84%8B%E1%85%B5%E1%86%B8.png,"""5. 콘텐츠 화면 흐름 > 화면 1. 도입"" 절, 화면 구성: ""패드 전체 화면을 도입 이미지와 이야기 문장으로 구성 / 캐릭터 대화 영역은 노출하지 않음 / 아이의 음성 입력 기능은 비활성화""",콘텐츠_방귀_뀌는_며느리.pdf,전체 화면 스토리 순차 표시 및 음성 자동 재생
,,3.2.2 장면 1,전개 1,핵심 요건 (Must),상황 제시 화면 (아이 발화 없음),필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20c33b-3486/2-%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%A21.png,"""화면 2. 전개1·대화1"" 절, 화면 구성 표 ""왼쪽 영역: 전개1 이야기 표시""",콘텐츠_방귀_뀌는_며느리.pdf,"좌측 스토리 진행 (이미지/텍스트 표시), 다시 듣기 버튼"
,,,대화 1,핵심 요건 (Must),"• 캐릭터 TTS 재생 및 [다시 듣기]
• 발화 차례 시/청각 효과음 안내• 상태 구분 (발화중/STT변환중/대기중)",필수,"최대 턴 도달 시 처리
목표를 모두 충족하지 못했더라도 최대 턴에 도달하면 장면을 종료한다.
단, 마지막 응답은 평가나 지적이 아니라 자연스럽게 다음 이야기로 연결되어야 한다.

최대 턴 도달
→ 현재까지 아이가 말한 내용에 짧게 반응
→ 캐릭터 마지막 대사
→ 다음 전개 이동",,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2083fb-220f/3-%E1%84%83%E1%85%A2%E1%84%92%E1%85%AA1.png,"캐릭터/발화흐름: 콘텐츠 문서 ""대화1"" 표(id sc_banggui_03, character_name 방귀쟁이 며느리, max_turns 4턴). TTS·다시듣기: MVP_요건.pdf ""이야기 장면 진행"" 행(""캐릭터 음성 자동 재생"",""캐릭터 대사 다시 듣기 제공""). 효과음 안내: MVP_요건.pdf ""아이 음성 대화"" 행 비고(""캐릭터 발화가 끝나면 효과음과 화면 변화를 통해 아이가 말할 차례임을 안내""). 상태 구분: 고객인터뷰_UXUI_참고사항.docx ""진행 상태"" 항목 (※ 실제 구현 스펙이 아니라 인터뷰에서 나온 요구사항)",MVP 요건,"캐릭터 A 대화 진행 및 음성 인터랙션
플로우 : 캐릭터 첫 대사[고정] → 아이 대화(max turns : 4) → 캐릭터 마지막 대사[고정]
캐릭터 : 방귀쟁이 며느리
  • [모든 대화에서 동일 적용] 최대 턴 도달 시 캐릭터 반응 필요 "
,,3.2.3 장면 2,전개 2,핵심 요건 (Must),상황 제시 구역,필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20c39b-4d16/4-%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%A22.png,"""화면 3. 전개2·대화2"" 절 ""전개2"" 표(id sc_banggui_04)",콘텐츠_방귀_뀌는_며느리.pdf,좌측 스토리 진행
,,,대화 2,핵심 요건 (Must),캐릭터 B 음성 대화 및 피드백 명확화,필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2008ab-2d2c/5-%E1%84%83%E1%85%A2%E1%84%92%E1%85%AA2.png,"같은 절 ""대화2"" 표(id sc_banggui_05, character_name 시아버지, max_turns 5턴)",콘텐츠_방귀_뀌는_며느리.pdf,"캐릭터 B 대화 진행
플로우 : 캐릭터 첫 대사[고정] → 아이 대화(max turns : 5) → 캐릭터 마지막 대사[고정]
캐릭터 : 시아버지"
,,3.2.4 장면 3,전개 3,핵심 요건 (Must),상황 제시 구역,필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20b9db-f715/6-%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%A23.png,"""화면 4. 전개3·대화3·미션1"" 절 ""전개3"" 표(id sc_banggui_06)",콘텐츠_방귀_뀌는_며느리.pdf,좌측 스토리 진행
,,,대화 3,핵심 요건 (Must),캐릭터 C 음성 대화 및 피드백 명확화,필수,"미션 노출 조건 예시
다음 중 하나에 해당할 때 미션을 노출한다.
• 아이가 며느리의 방귀를 활용할 수 있다고 제안한 경우
• 아이가 해결 방향은 말했지만 방법이 구체적이지 않은 경우
• 2회 이상 대화했지만 실행 방법이 나오지 않은 경우
• 캐릭터 질문만으로 해결 방법을 구체화하기 어려운 경우

마지막 대사 이후에는 며느리의 방귀로 배가 떨어지는 결과 연출이 이어진다.",,"%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2095ab-616b/7-%E1%84%83%E1%85%A2%E1%84%92%E1%85%AA3-1.png, %EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2095ab-616b/9-%E1%84%83%E1%85%A2%E1%84%92%E1%85%AA3-2.png","같은 절 ""대화3"" 표(id sc_banggui_07, character_name 마을 이장, max_turns 5턴)",콘텐츠_방귀_뀌는_며느리.pdf,"캐릭터 C 대화 진행
플로우 : 캐릭터 첫 대사[고정] → 아이 대화(max turns : 2) → (미션 노출 조건 달성 시) 미션1 → 아이 대화 (max turns : 3) → 캐릭터 마지막 대사[고정] → 장면 3-2 이미지(?)
캐릭터 : 마을 이장
총 max turns : 5"
,,,미션 1,핵심 요건 (Must),대화 직후 선-발화 후 오버레이 팝업 노출 (화면 전환 없음),필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209c4b-4b72/8-%E1%84%86%E1%85%B5%E1%84%89%E1%85%A7%E1%86%AB1.png,"""미션 노출 원칙"" 절: ""미션은 대화 시작과 동시에 보여주지 않는다. 아이의 발화 흐름을 확인한 뒤, 해결 방법을 실제로 구성해야 하는 시점에 노출한다"" ※ ""오버레이 팝업"" 형태는 원문에 명시 없음 — 문서는 ""같은 장면 화면 안에서 순차 진행""이라고만 되어 있어 UI 형태(오버레이 vs 인라인)는 별도 확인 필요",콘텐츠_방귀_뀌는_며느리.pdf,조건 충족 시 미션 노출 (높은 배 따기)
,,3.2.5 장면 4,전개 4,핵심 요건 (Must),상황 제시 구역,필수,"미션2 노출 시점

아이가 며느리에게 자신의 특징을 부끄러워하지 않아도 된다고 말함
→ 자신의 특징을 긍정하는 이유 확인
→ 다른 사람의 특징으로 관점을 확장할 필요가 생김",,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%209e6b-3ce0/10-%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%80%E1%85%A24.png,"""화면 5. 전개4·대화4·미션2"" 절 ""전개4"" 표(id sc_banggui_08)",콘텐츠_방귀_뀌는_며느리.pdf,"좌측 스토리 진행
플로우 : 캐릭터 첫 대사[고정] → 아이 대화(max turns : 4) → 미션2 → 아이 대화 → 캐릭터 마지막 대사[고정]
캐릭터 : 방귀쟁이 며느리"
,,,대화 4,핵심 요건 (Must),캐릭터 A 마무리 대화 처리,필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20b68b-5992/11-%E1%84%83%E1%85%A2%E1%84%92%E1%85%AA4.png,"같은 절 ""대화4"" 표(id sc_banggui_09, character_name 방귀쟁이 며느리, max_turns 4턴)",콘텐츠_방귀_뀌는_며느리.pdf,캐릭터 A 대화 (마무리)
,,,미션 2,핵심 요건 (Must),조건 충족 시 오버레이 형태로 노출,필수,,,%EC%A0%95%EB%B3%B4%EA%B5%AC%EC%A1%B0%EB%8F%84(IA)/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C/%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20362b-9649/12-%E1%84%86%E1%85%B5%E1%84%89%E1%85%A7%E1%86%AB2.png,"""미션2 노출 시점"" 절 ※ ""오버레이 형태"" 표현은 원문에 없음(미션1과 동일 사항)",콘텐츠_방귀_뀌는_며느리.pdf,조건 충족 시 노출 (단점을 장점으로 바꾸기)
❗,3.3 후속 활동,3.3.1 장면 순서 배열,-,핵심 요건 (Must),성공 시 핵심 단어 3~4개 획득,필수,"• 주요 장면 카드 4~5개를 무작위로 제시 
• 아이가 카드를 이야기 순서대로 배열 • 배열 순서가 정답일 시, 핵심 단어 3~4개 제공 
• 카드와 단어를 참고해 전체 이야기를 음성으로 재구성 
• 텍스트로 전환 및 표시 
• 발화 내용과 활동 완료 여부 저장",,,"""말하기 후 활동"" 행 세부설명: ""주요 장면 카드 4~5개를 무작위로 제시 / 아이가 카드를 이야기 순서대로 배열 / 배열 순서가 정답일 시, 핵심 단어 3~4개 제공""",MVP 요건,"장면 카드 4~5개 순서 맞추기 (드래그/선택)
말하기 후 활동 페이지 : 핵심단어 3-4개 / 전체 이야기 음성 및 텍스트 표기/ 활동 완료 버튼(?)"
,,3.3.2 이야기 재구성,-,핵심 요건 (Must),음성 입력 후 텍스트 변환(STT) 확인,필수,,,,"같은 행: ""카드와 단어를 참고해 전체 이야기를 음성으로 재구성 / 텍스트로 전환 및 표시""",MVP 요건,획득 핵심 단어 활용 음성 재구성
,,"  ‘",-,핵심 요건 (Must),완료 세션 DB 저장 (story_sessions),필수,,,,"같은 행: ""발화 내용과 활동 완료 여부 저장"" ※ ""story_sessions DB 저장""이라는 구체적 문구는 원문에 없고 유추한 서술",MVP 요건,학습 완료 화면 및 결과 저장
4. 단어장,4.1 단어장 홈,4.1.1 단어 목록,-,제외/후순위 요건 (P3),후순위 개발 권장,추가,,,,"MVP_요건.pdf ""단어 저장"" 행(등급: 추가) 세부설명 ""모르는 단어 질문 시 저장"", 비고 ""별도 단어장 화면은 후순위 가능"" ※ ""P3 분류"", ""이번 MVP 출시 스코프 제외"" 표현은 원문에 없음 — 등급 체계는 원문상 ""필수/추가"" 2단계만 존재, ""P3"" 근거 확인 불가",MVP 요건,질문/저장한 단어 자동 수집 목록
,,4.1.2 단어 상세,-,제외/후순위 요건 (P3),음성(TTS) 듣기 후순위 개발 권장,추가,,,,"MVP_요건.pdf ""단어 저장"" 행 세부설명 ""쉬운 뜻과 이야기 속 문장 제공"", ""음성 듣기 제공"" ※ ""P3 분류"" 근거 확인 불가",MVP 요건,"쉬운 뜻풀이, 예문, 음성 듣기"
,,4.1.3 좋아하는 단어,-,제외/후순위 요건 (P3),저장 및 즐겨찾기 후순위 개발 권장,추가,,,,"MVP_요건.pdf ""단어 저장"" 행 세부설명 ""좋아하는 단어 저장"" ※ ""P3 분류"" 근거 확인 불가",MVP 요건,단어 즐겨찾기 저장/해제 기능
5. 마이페이지,5.1 보호자 리포트,5.1.1 발화 변화,-,제외/후순위 요건 (P3),MVP 이후 이관 권장 (발화 원문 인용 위주 설계),추가,,,,"MVP_요건.pdf ""보호자 리포트"" 행(등급: 추가) ""보호자가 아이의 말하기 결과를 확인"" / user_flow.png ""④보호자 리포트"" 열 노드 존재 ※ ""MVP 이후 이관 권장"", ""P3 분류"" 근거 확인 불가. ""발화 원문 인용 위주 설계"" 아이디어는 고객인터뷰_UXUI_참고사항.docx ""보호자 정보"" 항목(""보호자는 점수나 복잡한 분석보다 아이가 실제로 어떤 말을 했고 어떤 부분을 잘 표현했는지 쉽게 확인하기를 원했다"")에서 근거를 찾을 수 있음 — 이 부분은 이 문서로 출처 정정",MVP 요건,발화량 및 표현 변화 그래프/요약
,,5.1.2 역량 분석,-,제외/후순위 요건 (P3),utterance_analyses 데이터 기반 표현,추가,,,,"user_flow.png ""④보호자 리포트"" 열 ""말하기 역량 분석(어휘,논리,표현)"", ""대표 발화 확인"" 노드",user_flow.png,말하기 역량 및 대표 발화 원문 확인
,,5.1.3 가정 학습 가이드,-,제외/후순위 요건 (P3),하단 가이드 영역 레이아웃 제공,추가,,,,"user_flow.png ""④보호자 리포트"" 열 ""가정 학습 가이드"" 노드",user_flow.png,리포트 하단 피드백 및 가이드 팁
,5.2 설정 및 기타,5.2.1 프로필 관리,-,보완 요건 (Must),보호자 계정 하위 아이 프로필 관리,필수,,,,"""⑤설정 및 기타"" 열 ""설정"" 노드 존재 ※ ""다자녀 프로필 추가/수정/삭제라는 구체적 CRUD 기능은 원문에 명시 없음(추정). MVP_요건.pdf에는 ""등록"" 단계만 명시",user_flow.png,다자녀 프로필 추가/수정/삭제
,,5.2.2 시스템 메뉴,공지사항,일반 요건 (Must),앱 공지사항 전달,필수,,,,"""⑤설정 및 기타"" 열 ""공지사항"" 노드",user_flow.png,공지사항 목록 및 상세 view
,,,고객센터,일반 요건 (Must),CS 연결 메뉴,필수,,,,"""⑤설정 및 기타"" 열 ""고객센터"" 노드",user_flow.png,FAQ 및 1:1 문의 연결
,,,이용안내,일반 요건 (Must),이용약관 및 정책 안내,필수,,,,"""⑤설정 및 기타"" 열 ""이용안내"" 노드",user_flow.png,서비스 이용약관 및 가이드
,,,로그아웃,일반 요건 (Must),세션 종료 및 로그인 화면 이동,필수,,,,"""⑤설정 및 기타"" 열 ""로그아웃"" 노드",user_flow.png,계정 로그아웃 처리
,,,,,,,,,,,,
